clave,descripcion,clave_transporte,nacionalidad,designador_iata,linea_ferrea
EA0118,Mitad Del Mundo,03,Ecuador,UIO,
EA0119,Monseñor Oscar Arnulfo Romero,03,El Salvador,SAL,
EA0120,Al Maktoum,03,Emiratos Árabes Unidos,DWC,
EA0121,El Prat,03,España,BCN,
EA0122,Adolfo Suarez Madrid–Barajas,03,España,MAD,
EA0123,Son Sant Joan,03,España,PMI,
EA0124,Manises,03,España,VLC,
EA0125,Zaragoza,03,España,ZAZ,
EA0126,Albuquerque International,03,Estados Unidos,ABQ,
EA0127,Atlantic City International,03,Estados Unidos,ACY,
EA0128,Addison,03,Estados Unidos,ADS,
EA0129,Joint Base Andrews,03,Estados Unidos,ADW,
EA0130,Alexandria International,03,Estados Unidos,AEX,
EA0131,Fort Worth Alliance,03,Estados Unidos,AFW,
EA0132,Albany International,03,Estados Unidos,ALB,
EA0133,Waterloo Regional,03,Estados Unidos,ALO,
EA0134,Rick Husband Amarillo International,03,Estados Unidos,AMA,
EA0135,Anniston Regional,03,Estados Unidos,ANB,
EA0136,Ted Stevens,03,Estados Unidos,ANC,
EA0137,Talladega Municipal,03,Estados Unidos,ASN,
EA0138,Hartsfield - Jackson Atlanta International,03,Estados Unidos,ATL,
EA0139,Appleton International,03,Estados Unidos,ATW,
EA0140,Augusta State,03,Estados Unidos,AUG,
EA0141,Austin-Bergstrom International,03,Estados Unidos,AUS,
EA0142,Asheville Regional,03,Estados Unidos,AVL,
EA0143,Phoenix-Mesa Gateway,03,Estados Unidos,AZA,
EA0144,Kalamazoo/Battle Creek International,03,Estados Unidos,AZO,
EA0145,Bradley International,03,Estados Unidos,BDL,
EA0146,Laurence G Hanscom,03,Estados Unidos,BED,
EA0147,Boeing Field/King County International,03,Estados Unidos,BFI,
EA0148,Meadows Field,03,Estados Unidos,BFL,
EA0149,Bangor International,03,Estados Unidos,BGR,
EA0150,Birmingham-Shuttlesworth,03,Estados Unidos,BHM,
EA0151,Biggs,03,Estados Unidos,BIF,
EA0152,West Michigan Regional,03,Estados Unidos,BIV,
EA0153,Central Il Regional Airport,03,Estados Unidos,BMI,
EA0154,Nashville International,03,Estados Unidos,BNA,
EA0155,General Edward Lawrence Logan International,03,Estados Unidos,BOS,
EA0156,Rafael Hernandez,03,Estados Unidos,BQN,
EA0157,Brownsville/South Padre Island International,03,Estados Unidos,BRO,
EA0158,W K Kellogg,03,Estados Unidos,BTL,
EA0159,Bert Mooney,03,Estados Unidos,BTM,
EA0160,Buffalo Niagara International,03,Estados Unidos,BUF,
EA0161,Warren County Regional,03,Estados Unidos,BWG,
EA0162,Baltimore/Washington International Thurgood Marshall,03,Estados Unidos,BWI,
EA0163,Columbia Metropolitan,03,Estados Unidos,CAE,
EA0164,Akron-Canton Regional,03,Estados Unidos,CAK,
EA0165,Lovell,03,Estados Unidos,CHA,
EA0166,Charleston International,03,Estados Unidos,CHS,
EA0167,The Eastern Iowa,03,Estados Unidos,CID,
EA0168,Cleveland-Hopkins International,03,Estados Unidos,CLE,
EA0169,Easterwood,03,Estados Unidos,CLL,
EA0170,Charlotte/Douglas International,03,Estados Unidos,CLT,
EA0171,John Glenn Columbus International,03,Estados Unidos,CMH,
EA0172,University Of Illinois,03,Estados Unidos,CMI,
EA0173,Aeropuerto de Columbia,03,Estados Unidos,COA,
EA0174,Columbia Regional,03,Estados Unidos,COU,
EA0175,Corpus Christi International,03,Estados Unidos,CRP,
EA0176,Columbus,03,Estados Unidos,CSG,
EA0177,Cincinnati/Northern Kentucky International,03,Estados Unidos,CVG,
EA0178,Dallas Love,03,Estados Unidos,DAL,
EA0179,James M Cox Dayton International,03,Estados Unidos,DAY,
EA0180,Ronald Reagan,03,Estados Unidos,DCA,
EA0181,Denver International,03,Estados Unidos,DEN,
EA0182,Dallas-Fort Worth International,03,Estados Unidos,DFW,
EA0183,De Kalb Taylor Municipal,03,Estados Unidos,DKB,
EA0184,Duluth International,03,Estados Unidos,DLH,
EA0185,Dupage,03,Estados Unidos,DPA,
EA0186,Del Rio International,03,Estados Unidos,DRT,
EA0187,Des Moines International,03,Estados Unidos,DSM,
EA0188,Denton Enterprise,03,Estados Unidos,DTO,
EA0189,Detroit Metropolitan,03,Estados Unidos,DTW,
EA0190,Eagle County Regional,03,Estados Unidos,EGE,
EA0191,South Arkansas Regional,03,Estados Unidos,ELD,
EA0192,El Paso International,03,Estados Unidos,ELP,
EA0193,Evansville Regional,03,Estados Unidos,EVV,
EA0194,Newark Liberty International,03,Estados Unidos,EWR,
EA0195,Héctor International,03,Estados Unidos,FAR,
EA0196,Fresno Yosemite International,03,Estados Unidos,FAT,
EA0197,Frederick Regional,03,Estados Unidos,FDR,
EA0198,Fort Lauderdale,03,Estados Unidos,FLL,
EA0199,Bishop International,03,Estados Unidos,FNT,
EA0200,Topeka Regional,03,Estados Unidos,FOE,
EA0201,Joe Foss,03,Estados Unidos,FSD,
EA0202,Fort Wayne International,03,Estados Unidos,FWA,
EA0203,Greeneville-Greene County Municipal,03,Estados Unidos,GCY,
EA0204,Grand Forks International,03,Estados Unidos,GFK,
EA0205,Grand Junction Regional,03,Estados Unidos,GJT,
EA0206,Arlington Municipal,03,Estados Unidos,GKY,
EA0207,Greenville Mid-Delta,03,Estados Unidos,GLH,
EA0208,Central Nebraska Regional,03,Estados Unidos,GRI,
EA0209,Gordon Municipal,03,Estados Unidos,GRN,
EA0210,Gerald R Ford International,03,Estados Unidos,GRR,
EA0211,Piedmont Triad International,03,Estados Unidos,GSO,
EA0212,Greenville Spartanburg International,03,Estados Unidos,GSP,
EA0213,Donaldson,03,Estados Unidos,GYH,
EA0214,Gary/Chicago International,03,Estados Unidos,GYY,
EA0215,Hagerstown Regional,03,Estados Unidos,HGR,
EA0216,Hawkins,03,Estados Unidos,HKS,
EA0217,Hickory Regional,03,Estados Unidos,HKY,
EA0218,Helena Regional,03,Estados Unidos,HLN,
EA0219,Daniel K Inouye International,03,Estados Unidos,HNL,
EA0220,William P Hobby,03,Estados Unidos,HOU,
EA0221,Valley International,03,Estados Unidos,HRL,
EA0222,Boone County,03,Estados Unidos,HRO,
EA0223,Carl T Jones Field,03,Estados Unidos,HSV,
EA0224,Tri-State/Milton J Ferguson,03,Estados Unidos,HTS,
EA0225,Terre Haute Regional,03,Estados Unidos,HUF,
EA0226,Washington Dulles,03,Estados Unidos,IAD,
EA0227,Niagara Falls International,03,Estados Unidos,IAG,
EA0228,George Bush Intercontinental,03,Estados Unidos,IAH,
EA0229,Dwight D Eisenhower National,03,Estados Unidos,ICT,
EA0230,Ankeny Regional,03,Estados Unidos,IKV,
EA0231,Wilmington International,03,Estados Unidos,ILM,
EA0232,Wilmington Air Park,03,Estados Unidos,ILN,
EA0233,Immokalee Regional,03,Estados Unidos,IMM,
EA0234,Indianapolis International,03,Estados Unidos,IND,
EA0235,Jackson Hole,03,Estados Unidos,JAC,
EA0236,Jackson-Evers International,03,Estados Unidos,JAN,
EA0237,Jacksonville International,03,Estados Unidos,JAX,
EA0238,Jefferson City Memorial,03,Estados Unidos,JEF,
EA0239,John F Kennedy International,03,Estados Unidos,JFK,
EA0240,Capital Region International,03,Estados Unidos,LAN,
EA0241,Mccarran International,03,Estados Unidos,LAS,
EA0242,Los Angeles International,03,Estados Unidos,LAX,
EA0243,Lubbock Preston Smith International,03,Estados Unidos,LBB,
EA0244,Rickenbacker International,03,Estados Unidos,LCK,
EA0245,Blue Grass,03,Estados Unidos,LEX,
EA0246,Lafayette Regional,03,Estados Unidos,LFT,
EA0247,Laguardia,03,Estados Unidos,LGA,
EA0248,Long Beach,03,Estados Unidos,LGB,
EA0249,Lagrange-Callaway,03,Estados Unidos,LGC,
EA0250,Bill And Hillary Clinton National,03,Estados Unidos,LIT,
EA0251,Facility,03,Estados Unidos,LJC,
EA0252,Louisville Winston County,03,Estados Unidos,LMS,
EA0253,Bowman,03,Estados Unidos,LOU,
EA0254,Laredo International,03,Estados Unidos,LRD,
EA0255,La Crosse Regional,03,Estados Unidos,LSE,
EA0256,Cincinnati Municipal,03,Estados Unidos,LUK,
EA0257,Lawrenceville-Vincennes International,03,Estados Unidos,LWV,
EA0258,Gwinnett County,03,Estados Unidos,LZU,
EA0259,Mbs International,03,Estados Unidos,MBS,
EA0260,Kansas City International,03,Estados Unidos,MCI,
EA0261,Orlando International,03,Estados Unidos,MCO,
EA0262,Chicago Midway International,03,Estados Unidos,MDW,
EA0263,Key,03,Estados Unidos,MEI,
EA0264,Memphis International,03,Estados Unidos,MEM,
EA0265,Mansfield Lahm Regional,03,Estados Unidos,MFD,
EA0266,Mcallen Miller International,03,Estados Unidos,MFE,
EA0267,Michigan City Municipal,03,Estados Unidos,MGC,
EA0268,Montgomery Regional,03,Estados Unidos,MGM,
EA0269,Miami International,03,Estados Unidos,MIA,
EA0270,Charles B Wheeler Downtown,03,Estados Unidos,MKC,
EA0271,General Mitchell International,03,Estados Unidos,MKE,
EA0272,Quad City International,03,Estados Unidos,MLI,
EA0273,Mobile Regional,03,Estados Unidos,MOB,
EA0274,Smyrna,03,Estados Unidos,MQY,
EA0275,Maury County,03,Estados Unidos,MRC,
EA0276,Dane County Regional,03,Estados Unidos,MSN,
EA0277,Minneapolis-St. Paul International,03,Estados Unidos,MSP,
EA0278,Louis Armstrong New Orleans International,03,Estados Unidos,MSY,
EA0279,Montrose Regional,03,Estados Unidos,MTJ,
EA0280,Myrtle Beach International,03,Estados Unidos,MYR,
EA0281,Metropolitan Oakland International,03,Estados Unidos,OAK,
EA0282,Ogden-Hinckley,03,Estados Unidos,OGD,
EA0283,Will Rogers,03,Estados Unidos,OKC,
EA0284,Kokomo Municipal,03,Estados Unidos,OKK,
EA0285,Nogales,03,Estados Unidos,OLS,
EA0286,Eppley,03,Estados Unidos,OMA,
EA0287,Ontario International,03,Estados Unidos,ONT,
EA0288,Miami-Opa Locka Executive,03,Estados Unidos,OPF,
EA0289,Chicago O'hare International,03,Estados Unidos,ORD,
EA0290,Norfolk International,03,Estados Unidos,ORF,
EA0291,Orlando Executive,03,Estados Unidos,ORL,
EA0292,Oscoda-Wurtsmith,03,Estados Unidos,OSC,
EA0293,Ottumwa Regional,03,Estados Unidos,OTM,
EA0294,Palm Beach International,03,Estados Unidos,PBI,
EA0295,Portage Creek,03,Estados Unidos,PCA,
EA0296,Portland International,03,Estados Unidos,PDX,
EA0297,Newport News/Williamsburg International,03,Estados Unidos,PHF,
EA0298,Philadelphia International,03,Estados Unidos,PHL,
EA0299,Phoenix Sky Harbor,03,Estados Unidos,PHX,
EA0300,General Downing - Peoria International,03,Estados Unidos,PIA,
EA0301,Pittsburgh International,03,Estados Unidos,PIT,
EA0302,Mid-Ohio Valley Regional,03,Estados Unidos,PKB,
EA0303,Pease International,03,Estados Unidos,PSM,
EA0304,Palm Springs International,03,Estados Unidos,PSP,
EA0305,Oakland County International,03,Estados Unidos,PTK,
EA0306,Theodore Francis Green,03,Estados Unidos,PVD,
EA0307,Portland International,03,Estados Unidos,PWM,
EA0308,Vail Van Service,03,Estados Unidos,QBF,
EA0309,Ellsworth Air Force Base,03,Estados Unidos,RCA,
EA0310,Raleigh-Durham International,03,Estados Unidos,RDU,
EA0311,Chicago/Rockford International,03,Estados Unidos,RFD,
EA0312,Richmond International,03,Estados Unidos,RIC,
EA0313,Reno/Tahoe International,03,Estados Unidos,RNO,
EA0314,Greater Rochester International,03,Estados Unidos,ROC,
EA0315,Rochester International,03,Estados Unidos,RST,
EA0316,Southwest Florida International,03,Estados Unidos,RSW,
EA0317,Rocky Mount-Wilson Regional,03,Estados Unidos,RWI,
EA0318,Santa Fe Municipal,03,Estados Unidos,SAF,
EA0319,San Diego International,03,Estados Unidos,SAN,
EA0320,San Antonio International,03,Estados Unidos,SAT,
EA0321,San Bernardino International,03,Estados Unidos,SBD,
EA0322,South Bend International,03,Estados Unidos,SBN,
EA0323,Louisville International,03,Estados Unidos,SDF,
EA0324,Brown Field Municipal,03,Estados Unidos,SDM,
EA0325,Seattle-Tacoma International,03,Estados Unidos,SEA,
EA0326,Orlando Sanford International,03,Estados Unidos,SFB,
EA0327,San Francisco International,03,Estados Unidos,SFO,
EA0328,Sugar Land Regional,03,Estados Unidos,SGR,
EA0329,Stuttgart Municipal,03,Estados Unidos,SGT,
EA0330,Shreveport Regional,03,Estados Unidos,SHV,
EA0331,San José International,03,Estados Unidos,SJC,
EA0332,Luis Muñoz Marin,03,Estados Unidos,SJU,
EA0333,Kelly,03,Estados Unidos,SKF,
EA0334,Griffing Sandusky,03,Estados Unidos,SKY,
EA0335,Salt Lake City International,03,Estados Unidos,SLC,
EA0336,Sacramento International,03,Estados Unidos,SMF,
EA0337,Santa Monica Municipal,03,Estados Unidos,SMO,
EA0338,John Wayne Airport,03,Estados Unidos,SNA,
EA0339,St. Louis Lambert International,03,Estados Unidos,STL,
EA0340,Spirit Of St. Louis,03,Estados Unidos,SUS,
EA0341,Statesville Regional,03,Estados Unidos,SVH,
EA0342,Stewart International,03,Estados Unidos,SWF,
EA0343,Catalina Island,03,Estados Unidos,SXC,
EA0344,Syracuse Hancock International,03,Estados Unidos,SYR,
EA0345,Tuscaloosa Regional,03,Estados Unidos,TCL,
EA0346,Person County,03,Estados Unidos,TDF,
EA0347,Teterboro,03,Estados Unidos,TEB,
EA0348,Tullahoma Regional,03,Estados Unidos,THA,
EA0349,Toledo Express,03,Estados Unidos,TOL,
EA0350,Tampa International,03,Estados Unidos,TPA,
EA0351,Raleigh Exec Jetport,03,Estados Unidos,TTA,
EA0352,Tulsa International,03,Estados Unidos,TUL,
EA0353,Tupelo Regional,03,Estados Unidos,TUP,
EA0354,Tucson International,03,Estados Unidos,TUS,
EA0355,Texarkana Regional,03,Estados Unidos,TXK,
EA0356,Mcghee Tyson,03,Estados Unidos,TYS,
EA0357,Quincy Regional,03,Estados Unidos,UIN,
EA0358,University-Oxford,03,Estados Unidos,UOX,
EA0359,Van Nuys,03,Estados Unidos,VNY,
EA0360,Mcguire,03,Estados Unidos,WRI,
EA0361,Willow Run,03,Estados Unidos,YIP,
EA0362,Youngstown-Warren Regional,03,Estados Unidos,YNG,
EA0363,Yuma International,03,Estados Unidos,YUM,
EA0364,Vantaa,03,Finlandia,HEL,
EA0365,Euroairport Basel Mulhouse Freiburg,03,Francia,BSL,
EA0366,Felix Eboue,03,Francia,CAY,
EA0367,Charles De Gaulle,03,Francia,CDG,
EA0368,Euroairport Basel Mulhouse Freiburg,03,Francia,EAP,
EA0369,Martinique Aime Cesaire,03,Francia,FDF,
EA0370,Lyon St-Exupery,03,Francia,LYS,
EA0371,Euroairport Basel Mulhouse Freiburg,03,Francia,MLH,
EA0372,Marseille Provence,03,Francia,MRS,
EA0373,Côte D'azur,03,Francia,NCE,
EA0374,Atlantique,03,Francia,NTE,
EA0375,Orly,03,Francia,ORY,
EA0376,Le Raizet,03,Francia,PTP,
EA0377,Toulouse Blagnac,03,Francia,TLS,
EA0378,Mundo Maya,03,Guatemala,FRS,
EA0379,La Aurora,03,Guatemala,GUA,
EA0380,Antoine-Simon,03,Haiti,CYA,
EA0381,Toussaint Louverture,03,Haití,PAP,
EA0382,Goloson,03,Honduras,LCE,
EA0383,Juan Manuel Gálvez,03,Honduras,RTB,
EA0384,Ramón Villeda Morales,03,Honduras,SAP,
EA0385,Toncontin,03,Honduras,TGU,
EA0386,Chek Lap Kok,03,Hong Kong,HKG,
EA0387,Budapest,03,Hungría,BUD,
EA0388,Vadodara,03,India,BDQ,
EA0389,Dublín,03,Irlanda,DUB,
EA0390,Shannon,03,Irlanda,SNN,
EA0391,Keflavik,03,Islandia,KEF,
EA0392,Owen Roberts,03,Islas Caimán,GCM,
EA0393,Ben Gurion,03,Israel,TLV,
EA0394,Bologna,03,Italia,BLQ,
EA0395,Cagliari-Elmas,03,Italia,CAG,
EA0396,Ciampino-Giovan Battista Pastine,03,Italia,CIA,
EA0397,Leonardo Da Vinci,03,Italia,FCO,
EA0398,Genoa Cristoforo Colombo,03,Italia,GOA,
EA0399,Malpensa,03,Italia,MXP,
EA0400,Caselle,03,Italia,TRN,
EA0401,Marco Polo,03,Italia,VCE,
EA0402,Villafranca,03,Italia,VRN,
EA0403,Norman Manley,03,Jamaica,KIN,
EA0404,Sangster,03,Jamaica,MBJ,
EA0405,New Sapporo,03,Japón,CTS,
EA0406,Hachijojima,03,Japón,HAC,
EA0407,Kansai,03,Japón,KIX,
